REGION,TECHNOLOGY,YEAR,VALUE
REGION1,DKBFHPFH1,2015,12.014504280309298
REGION1,DKBFHPFH1,2016,11.932454006825099
REGION1,DKBFHPFH1,2017,11.850403733340897
REGION1,DKBFHPFH1,2018,11.7683534598567
REGION1,DKBFHPFH1,2019,11.686303186372498
REGION1,DKBFHPFH1,2020,11.604252912888299
REGION1,DKBFHPFH1,2021,11.569088510866598
REGION1,DKBFHPFH1,2022,11.5339241088449
REGION1,DKBFHPFH1,2023,8.651399112828
REGION1,DKBFHPFH1,2024,3.9861588320805
REGION1,DKBFHPFH1,2025,3.4475564011798
REGION1,DKBFHPFH1,2026,3.3465358314080995
REGION1,DKBFHPFH1,2027,3.1838811426761997
REGION1,DKBFHPFH1,2028,2.0355661310540003
REGION1,DKBFHPFH1,2029,1.7692962527363998
REGION1,DKBFHPFH1,2030,1.4601763336608
REGION1,DKBFHPFH1,2031,1.3051737983837
REGION1,DKBMCCPH1,2057,9.141530287291285
REGION1,DKBMCCPH1,2058,9.123247227455058
REGION1,DKBMCCPH1,2059,9.105000732347708
REGION1,DKBMCCPH1,2060,9.086790730818576
REGION1,DKBMCSPN2,2039,0.7642484045221486
REGION1,DKBMCSPN2,2040,3.2036395420928807
REGION1,DKBMCSPN2,2041,3.9360125972657856
REGION1,DKBMCSPN2,2042,3.9360125972657856
REGION1,DKBMCSPN2,2043,5.052338251546414
REGION1,DKBMCSPN2,2044,15.187769788909442
REGION1,DKBMCSPN2,2045,15.187769788909442
REGION1,DKBMCSPN2,2046,15.187769788909442
REGION1,DKBMCSPN2,2047,15.187769788909442
REGION1,DKBMCSPN2,2048,15.187769788909442
REGION1,DKBMCSPN2,2049,15.187769788909442
REGION1,DKBMCSPN2,2050,15.561398920295758
REGION1,DKBMCSPN2,2051,19.208116145977904
REGION1,DKBMCSPN2,2052,21.149055450493552
REGION1,DKBMCSPN2,2053,23.1037189497272
REGION1,DKBMCSPN2,2054,23.831725393383074
REGION1,DKBMCSPN2,2055,23.831725393383074
REGION1,DKBMCSPN2,2056,23.831725393383074
REGION1,DKBMCSPN2,2057,23.831725393383074
REGION1,DKBMCSPN2,2058,23.831725393383074
REGION1,DKBMCSPN2,2059,23.831725393383074
REGION1,DKBMCSPN2,2060,23.831725393383074
REGION1,DKBMSTPH3,2015,39.360586592669435
REGION1,DKBMSTPH3,2016,39.07605223271679
REGION1,DKBMSTPH3,2017,38.79151787276416
REGION1,DKBMSTPH3,2018,38.506983512811516
REGION1,DKBMSTPH3,2019,38.222449147760635
REGION1,DKBMSTPH3,2020,37.937914787808
REGION1,DKBMSTPH3,2021,37.81145507057408
REGION1,DKBMSTPH3,2022,37.6849953584384
REGION1,DKBMSTPH3,2023,26.897069570570082
REGION1,DKBMSTPH3,2024,26.806507045853756
REGION1,DKBMSTPH3,2025,33.88679825516322
REGION1,DKBMSTPH3,2026,36.03044008561926
REGION1,DKBMSTPH3,2027,60.968740813896346
REGION1,DKBMSTPH3,2028,68.1322235608089
REGION1,DKBMSTPH3,2029,70.90183416279574
REGION1,DKBMSTPH3,2030,78.6501369721369
REGION1,DKBMSTPH3,2031,78.37892960055288
REGION1,DKBMSTPH3,2032,82.7169017869336
REGION1,DKBMSTPH3,2033,85.64297258355336
REGION1,DKBMSTPH3,2034,88.10665408877371
REGION1,DKBMSTPH3,2035,90.01389063203575
REGION1,DKBMSTPH3,2036,90.82198335873223
REGION1,DKBMSTPH3,2037,91.62452880599888
REGION1,DKBMSTPH3,2038,92.42144159726776
REGION1,DKBMSTPH3,2039,92.14417727287172
REGION1,DKBMSTPH3,2040,91.86774473014331
REGION1,DKBMSTPH3,2041,91.5921415021795
REGION1,DKBMSTPH3,2042,94.8461623049945
REGION1,DKBMSTPH3,2043,91.71262694603779
REGION1,DKBMSTPH3,2044,86.41645089365282
REGION1,DKBMSTPH3,2045,92.88006738252344
REGION1,DKBMSTPH3,2046,93.86077213301253
REGION1,DKBMSTPH3,2047,94.83472212256707
REGION1,DKBMSTPH3,2048,95.80212597694295
REGION1,DKBMSTPH3,2049,96.76273000959566
REGION1,DKBMSTPH3,2050,96.47244180884577
REGION1,DKBMSTPH3,2051,96.18302448630294
REGION1,DKBMSTPH3,2052,95.89447541522809
REGION1,DKBMSTPH3,2053,95.60679199743365
REGION1,DKBMSTPH3,2054,95.31997162045631
REGION1,DKBMSTPH3,2055,88.5102682408553
REGION1,DKBMSTPH3,2056,86.18923346825353
REGION1,DKBMSTPH3,2057,63.11324370136858
REGION1,DKBMSTPH3,2058,56.20945344198624
REGION1,DKBMSTPH3,2059,53.304407671599485
REGION1,DKBMSTPH3,2060,42.14159907276045
REGION1,DKCOSTPH1,2015,6.83955363699
REGION1,DKCOSTPH1,2016,6.83955363699
REGION1,DKCOSTPH1,2017,6.83955363699
REGION1,DKCOSTPH1,2018,6.83955363699
REGION1,DKCOSTPH1,2019,6.83955363699
REGION1,DKCOSTPH1,2020,6.579570604005
REGION1,DKCOSTPH1,2021,1.099928216475
REGION1,DKGOCVPH2,2022,2.1404006499441617
REGION1,DKGOCVPH2,2023,2.2772980579173017
REGION1,DKGOCVPH2,2024,2.413288284815304
REGION1,DKGOCVPH2,2025,2.5483666523889617
REGION1,DKGOCVPH2,2026,4.004435237025109
REGION1,DKGOCVPH2,2027,5.451326792072058
REGION1,DKGOCVPH2,2028,6.8889751191113655
REGION1,DKGOCVPH2,2029,8.317329487272788
REGION1,DKGOCVPH2,2030,9.736355479192103
REGION1,DKGOCVPH2,2031,10.835015730348033
REGION1,DKGOCVPH2,2032,11.931336863967502
REGION1,DKGOCVPH2,2033,13.025300749662605
REGION1,DKGOCVPH2,2034,13.572645868923692
REGION1,DKGOCVPH2,2035,13.53049479377076
REGION1,DKGOCVPH2,2036,13.488343720776784
REGION1,DKGOCVPH2,2037,13.446192645623853
REGION1,DKGOCVPH2,2038,13.404041572629877
REGION1,DKGOCVPH2,2039,13.361890497476946
REGION1,DKGOCVPH2,2040,13.31973942448297
REGION1,DKGOCVPH2,2041,13.277588349330038
REGION1,DKGOCVPH2,2042,13.235437274177107
REGION1,DKGOCVPH2,2043,13.193286201183131
REGION1,DKGOCVPH2,2044,13.1511351260302
REGION1,DKGOCVPH2,2045,13.108984053036224
REGION1,DKGOCVPH2,2046,13.066832977883292
REGION1,DKGOCVPH2,2047,13.024681904889317
REGION1,DKGOCVPH2,2048,12.982530829736385
REGION1,DKGOCVPH2,2049,12.940379756742411
REGION1,DKGOCVPH2,2050,12.898228681589478
REGION1,DKGOCVPH2,2051,12.885330454449385
REGION1,DKGOCVPH2,2052,12.872445122762171
REGION1,DKGOCVPH2,2053,12.859572677892006
REGION1,DKGOCVPH2,2054,12.84671310472619
REGION1,DKGOCVPH2,2055,12.833866392469934
REGION1,DKGOCVPH2,2056,12.821032526010537
REGION1,DKGOCVPH2,2057,12.808211492394252
REGION1,DKGOCVPH2,2058,12.795403280826294
REGION1,DKGOCVPH2,2059,12.782607878352918
REGION1,DKGOCVPH2,2060,12.769825269861421
REGION1,DKHFCHPH3,2015,0.003085250308
REGION1,DKHFCHPH3,2016,0.003085250308
REGION1,DKHFCHPH3,2017,0.003085250308
REGION1,DKHFCHPH3,2018,0.003085250308
REGION1,DKHFCHPH3,2019,0.003085250308
REGION1,DKHFCHPH3,2020,0.003085250308
REGION1,DKHFCHPH3,2021,0.000200095112
REGION1,DKHFCHPH3,2022,0.002980275157857677
REGION1,DKHFCHPH3,2023,0.018921040068132496
REGION1,DKHFCHPH3,2024,0.029628478372715608
REGION1,DKHFCHPH3,2025,0.029691697797341175
REGION1,DKHFCHPH3,2026,0.029974510982005893
REGION1,DKHFCHPH3,2027,0.029974510982005893
REGION1,DKHFCHPH3,2028,0.029974510982005893
REGION1,DKHFCHPH3,2029,0.029974510982005893
REGION1,DKHFCHPH3,2030,0.029974510982005893
REGION1,DKHFCHPH3,2031,0.029974510982005893
REGION1,DKHFCHPH3,2032,0.029974510982005893
REGION1,DKHFCHPH3,2033,0.029974510982005893
REGION1,DKHFCHPH3,2034,0.029974510982005893
REGION1,DKHFCHPH3,2035,0.029974510982005893
REGION1,DKHFCHPH3,2036,0.030086375002716093
REGION1,DKHFCHPH3,2037,0.03024792060644922
REGION1,DKHFCHPH3,2038,0.030493625023950387
REGION1,DKHFCHPH3,2039,0.030493625023950387
REGION1,DKHFCHPH3,2040,0.030526886715023852
REGION1,DKHFCHPH3,2041,0.030526886715023852
REGION1,DKHFCHPH3,2042,0.03055524352319419
REGION1,DKHFCHPH3,2043,0.03055524352319419
REGION1,DKHFCHPH3,2044,0.03100177578154916
REGION1,DKHFCHPH3,2045,0.03100177578154916
REGION1,DKHFCHPH3,2046,0.031150851968422922
REGION1,DKHFCHPH3,2047,0.03157524369972729
REGION1,DKHFCHPH3,2048,0.031999624111327715
REGION1,DKHFCHPH3,2049,0.03242401584263209
REGION1,DKHFCHPH3,2050,0.032932089634836695
REGION1,DKHFCHPH3,2051,0.03328577513815746
REGION1,DKHFCHPH3,2052,0.033972463770254153
REGION1,DKHFCHPH3,2053,0.034445466580969065
REGION1,DKHFCHPH3,2054,0.03497532965881522
REGION1,DKHFCHPH3,2055,0.03620546673666896
REGION1,DKHFCHPH3,2056,0.03692770875766719
REGION1,DKHFCHPH3,2057,0.03865250228835601
REGION1,DKHFCHPH3,2058,0.03990406135439988
REGION1,DKHFCHPH3,2059,0.04063399533179745
REGION1,DKHFCHPH3,2060,0.041857453754506724
REGION1,DKHFGCPH3,2015,1.7263838892864
REGION1,DKHFGCPH3,2016,1.7642481814536
REGION1,DKHFGCPH3,2017,1.8021124733902
REGION1,DKHFGCPH3,2018,1.8399767653268
REGION1,DKHFGCPH3,2019,1.8778410572634
REGION1,DKHFGCPH3,2020,1.9157053492
REGION1,DKHFGCPH3,2021,1.9157053492
REGION1,DKHFGCPH3,2022,0.103843525
REGION1,DKHFSTPH3,2015,33.7652382705
REGION1,DKHFSTPH3,2016,33.7652382705
REGION1,DKHFSTPH3,2017,33.7652382705
REGION1,DKHFSTPH3,2018,33.7652382705
REGION1,DKHFSTPH3,2019,33.7652382705
REGION1,DKHFSTPH3,2020,33.7652382705
REGION1,DKHFSTPH3,2021,33.7652382705
REGION1,DKHGSRPH2,2015,3.875975969784378
REGION1,DKHGSRPH2,2016,3.8530418025289888
REGION1,DKHGSRPH2,2017,3.8301076352736088
REGION1,DKHGSRPH2,2018,3.8071734680182194
REGION1,DKHGSRPH2,2019,3.7842393007628385
REGION1,DKHGSRPH2,2020,3.761305133507449
REGION1,DKHGSRPH2,2021,3.748693884107587
REGION1,DKHGSRPH2,2022,3.7029781050331043
REGION1,DKHGSRPH2,2023,3.7029781050331043
REGION1,DKHGSRPH2,2024,3.657262325958621
REGION1,DKHGSRPH2,2025,3.657262325958621
REGION1,DKHGSRPH2,2026,3.611546546884139
REGION1,DKHGSRPH2,2027,3.611546546884139
REGION1,DKHGSRPH2,2028,3.565830767809656
REGION1,DKHGSRPH2,2029,3.565830767809656
REGION1,DKHGSRPH2,2030,3.520114988735173
REGION1,DKHGSRPH2,2031,3.520114988735173
REGION1,DKHGSRPH2,2032,3.47439920966069
REGION1,DKHGSRPH2,2033,3.47439920966069
REGION1,DKHGSRPH2,2034,3.4286834305862075
REGION1,DKHGSRPH2,2035,3.4286834305862075
REGION1,DKHGSRPH2,2036,3.3829676515117244
REGION1,DKHGSRPH2,2037,3.3829676515117244
REGION1,DKHGSRPH2,2038,3.337251872437242
REGION1,DKHGSRPH2,2039,3.337251872437242
REGION1,DKHGSRPH2,2040,3.291536093362759
REGION1,DKHGSRPH2,2041,3.291536093362759
REGION1,DKHGSRPH2,2042,3.2458203142882764
REGION1,DKHGSRPH2,2043,3.2458203142882764
REGION1,DKHGSRPH2,2044,3.2001045352137933
REGION1,DKHGSRPH2,2045,3.2001045352137933
REGION1,DKHGSRPH2,2046,3.1543887561393107
REGION1,DKHGSRPH2,2047,3.1543887561393107
REGION1,DKHGSRPH2,2048,3.108672977064828
REGION1,DKHGSRPH2,2049,3.108672977064828
REGION1,DKHGSRPH2,2050,3.0629571979903454
REGION1,DKHGSRPN2,2015,3.5819284159746645
REGION1,DKHGSRPN2,2016,3.5607341294184027
REGION1,DKHGSRPN2,2017,3.5395398428621494
REGION1,DKHGSRPN2,2018,3.518345556305888
REGION1,DKHGSRPN2,2019,3.497151269749634
REGION1,DKHGSRPN2,2020,3.4759569831933725
REGION1,DKHGSRPN2,2021,3.4643024752866003
REGION1,DKHGSRPN2,2022,3.422054884124569
REGION1,DKHGSRPN2,2023,3.422054884124569
REGION1,DKHGSRPN2,2024,3.3798072929625365
REGION1,DKHGSRPN2,2025,3.3798072929625365
REGION1,DKHGSRPN2,2026,3.337559701800506
REGION1,DKHGSRPN2,2027,3.337559701800506
REGION1,DKHGSRPN2,2028,3.2953121106384735
REGION1,DKHGSRPN2,2029,3.2953121106384735
REGION1,DKHGSRPN2,2030,3.253064519476441
REGION1,DKHGSRPN2,2031,3.253064519476441
REGION1,DKHGSRPN2,2032,3.3795969471144565
REGION1,DKHGSRPN2,2033,5.178946257749405
REGION1,DKHGSRPN2,2034,6.892090285180102
REGION1,DKHGSRPN2,2035,8.66227311089477
REGION1,DKHGSRPN2,2036,10.30370253786335
REGION1,DKHGSRPN2,2037,12.057184997829195
REGION1,DKHGSRPN2,2038,13.624034416013245
REGION1,DKHGSRPN2,2039,15.353818764904332
REGION1,DKHGSRPN2,2040,16.849581153331282
REGION1,DKHGSRPN2,2041,18.555669826208973
REGION1,DKHGSRPN2,2042,19.980364308118894
REGION1,DKHGSRPN2,2043,21.666292437781596
REGION1,DKHGSRPN2,2044,23.022994674121037
REGION1,DKHGSRPN2,2045,24.684855958879925
REGION1,DKHGSRPN2,2046,25.970335568729695
REGION1,DKHGSRPN2,2047,27.608455977992026
REGION1,DKHGSRPN2,2048,28.822712961352135
REGION1,DKHGSRPN2,2049,30.43709249511792
REGION1,DKHGSRPN2,2050,31.580126851988357
REGION1,DKHGSRPN2,2051,36.08454297992774
REGION1,DKHGSRPN2,2052,37.38541907404999
REGION1,DKHGSRPN2,2053,38.662475068396944
REGION1,DKHGSRPN2,2054,39.9157109629687
REGION1,DKHGSRPN2,2055,41.14512675776537
REGION1,DKHGSRPN2,2056,42.35072245278676
REGION1,DKHGSRPN2,2057,43.53249804803307
REGION1,DKHGSRPN2,2058,44.69045354350406
REGION1,DKHGSRPN2,2059,45.82458893919987
REGION1,DKHGSRPN2,2060,46.934904235120655
REGION1,DKHGTDP00,2015,27.48100816583293
REGION1,DKHGTDP00,2016,27.48100816583293
REGION1,DKHGTDP00,2017,27.48100816583293
REGION1,DKHGTDP00,2018,27.48100816583293
REGION1,DKHGTDP00,2019,27.48100816583293
REGION1,DKHGTDP00,2020,27.48100816583293
REGION1,DKHGTDP00,2021,27.48100816583293
REGION1,DKHGTDP00,2022,27.48100816583293
REGION1,DKHGTDP00,2023,27.48100816583293
